D,supply,osm_coeff,no_saturation,fast_pseudo,Keq_1,Keq_2,K_1,K_2,id
1.05057865160242e-06,1.80776867696343e-08,0,0,0,10,10,1,1,154
1.05057865160242e-06,1.89920317905333e-08,0,0,0,10,10,1,1,155
1.05057865160242e-06,1.99526231496888e-08,0,0,0,10,10,1,1,156
1.05057865160242e-06,2.09617999245313e-08,0,0,0,10,10,1,1,157
1.05057865160242e-06,2.20220194998737e-08,0,0,0,10,10,1,1,158
1.05057865160242e-06,2.31358635517395e-08,0,0,0,10,10,1,1,159
1.05057865160242e-06,2.43060443338441e-08,0,0,0,10,10,1,1,160
1.05057865160242e-06,2.55354112820386e-08,0,0,0,10,10,1,1,161
1.05057865160242e-06,2.68269579527973e-08,0,0,0,10,10,1,1,162
1.05057865160242e-06,2.81838293126446e-08,0,0,0,10,10,1,1,163
1.05057865160242e-06,2.96093293962708e-08,0,0,0,10,10,1,1,164
1.05057865160242e-06,3.11069293519861e-08,0,0,0,10,10,1,1,165
1.05057865160242e-06,3.26802758941013e-08,0,0,0,10,10,1,1,166
1.05057865160242e-06,3.43332001828199e-08,0,0,0,10,10,1,1,167
1.05057865160242e-06,3.60697271532629e-08,0,0,0,10,10,1,1,168
1.05057865160242e-06,3.78940853163421e-08,0,0,0,10,10,1,1,169
1.05057865160242e-06,3.98107170553497e-08,0,0,0,10,10,1,1,170
1.05057865160242e-06,4.18242894433348e-08,0,0,0,10,10,1,1,171
1.05057865160242e-06,4.3939705607608e-08,0,0,0,10,10,1,1,172
1.05057865160242e-06,4.6162116669048e-08,0,0,0,10,10,1,1,173
1.05057865160242e-06,4.8496934285282e-08,0,0,0,10,10,1,1,174
1.05057865160242e-06,5.09498438282827e-08,0,0,0,10,10,1,1,175
1.05057865160242e-06,5.35268182284711e-08,0,0,0,10,10,1,1,176
1.05057865160242e-06,5.62341325190349e-08,0,0,0,10,10,1,1,177
1.05057865160242e-06,5.90783791158794e-08,0,0,0,10,10,1,1,178
1.05057865160242e-06,6.20664838704171e-08,0,0,0,10,10,1,1,179
1.05057865160242e-06,6.52057229342861e-08,0,0,0,10,10,1,1,180
1.05057865160242e-06,6.85037404770632e-08,0,0,0,10,10,1,1,181
1.05057865160242e-06,7.19685673001151e-08,0,0,0,10,10,1,1,182
1.05057865160242e-06,7.56086403919129e-08,0,0,0,10,10,1,1,183
1.05057865160242e-06,7.94328234724282e-08,0,0,0,10,10,1,1,184
1.05057865160242e-06,8.34504285766366e-08,0,0,0,10,10,1,1,185
1.05057865160242e-06,8.76712387296869e-08,0,0,0,10,10,1,1,186
1.05057865160242e-06,9.21055317689482e-08,0,0,0,10,10,1,1,187
1.05057865160242e-06,9.67641053709454e-08,0,0,0,10,10,1,1,188
1.05057865160242e-06,1.01658303344122e-07,0,0,0,10,10,1,1,189
1.05057865160242e-06,1.06800043251458e-07,0,0,0,10,10,1,1,190
1.05057865160242e-06,1.12201845430196e-07,0,0,0,10,10,1,1,191
1.05057865160242e-06,1.17876863479359e-07,0,0,0,10,10,1,1,192
1.05057865160242e-06,1.23838916289267e-07,0,0,0,10,10,1,1,193
1.05057865160242e-06,1.30102521691083e-07,0,0,0,10,10,1,1,194
1.05057865160242e-06,1.36682931808293e-07,0,0,0,10,10,1,1,195
1.05057865160242e-06,1.43596170196222e-07,0,0,0,10,10,1,1,196
1.05057865160242e-06,1.50859070860018e-07,0,0,0,10,10,1,1,197
1.05057865160242e-06,1.58489319246111e-07,0,0,0,10,10,1,1,198
1.05057865160242e-06,1.66505495306965e-07,0,0,0,10,10,1,1,199
1.05057865160242e-06,1.74927118743984e-07,0,0,0,10,10,1,1,200
1.05057865160242e-06,1.83774696538751e-07,0,0,0,10,10,1,1,201
1.05057865160242e-06,1.93069772888325e-07,0,0,0,10,10,1,1,202
1.05057865160242e-06,2.02834981666202e-07,0,0,0,10,10,1,1,203
1.05057865160242e-06,2.1309410153668e-07,0,0,0,10,10,1,1,204
1.05057865160242e-06,2.23872113856834e-07,0,0,0,10,10,1,1,205
1.05057865160242e-06,2.35195263507096e-07,0,0,0,10,10,1,1,206
1.05057865160242e-06,2.4709112279856e-07,0,0,0,10,10,1,1,207
1.05057865160242e-06,2.5958865861264e-07,0,0,0,10,10,1,1,208
1.05057865160242e-06,2.72718302936548e-07,0,0,0,10,10,1,1,209
1.05057865160242e-06,2.86512026966378e-07,0,0,0,10,10,1,1,210
1.05057865160242e-06,3.01003418958214e-07,0,0,0,10,10,1,1,211
1.05057865160242e-06,3.16227766016838e-07,0,0,0,10,10,1,1,212
1.05057865160242e-06,3.32222140021215e-07,0,0,0,10,10,1,1,213
1.05057865160242e-06,3.49025487895958e-07,0,0,0,10,10,1,1,214
1.05057865160242e-06,3.66678726448612e-07,0,0,0,10,10,1,1,215
1.05057865160242e-06,3.85224842003675e-07,0,0,0,10,10,1,1,216
1.05057865160242e-06,4.04708995075977e-07,0,0,0,10,10,1,1,217
1.05057865160242e-06,4.25178630338289e-07,0,0,0,10,10,1,1,218
1.05057865160242e-06,4.46683592150963e-07,0,0,0,10,10,1,1,219
1.05057865160242e-06,4.69276245934884e-07,0,0,0,10,10,1,1,220
1.05057865160242e-06,4.93011605683316e-07,0,0,0,10,10,1,1,221
1.05057865160242e-06,5.17947467923121e-07,0,0,0,10,10,1,1,222
1.05057865160242e-06,5.4414455245156e-07,0,0,0,10,10,1,1,223
