D,supply,osm_coeff,no_saturation,fast_pseudo,only_P1P2,only_P1C,Keq_1,Keq_2,id
1e-06,6.1509857885805e-06,0,1,1,1,0,1,1,186
1e-06,6.36824994471859e-06,0,1,1,1,0,1,1,187
1e-06,6.59318827133354e-06,0,1,1,1,0,1,1,188
1e-06,6.82607183427238e-06,0,1,1,1,0,1,1,189
1e-06,7.06718127392749e-06,0,1,1,1,0,1,1,190
1e-06,7.31680714342721e-06,0,1,1,1,0,1,1,191
1e-06,7.57525025877192e-06,0,1,1,1,0,1,1,192
1e-06,7.84282206133768e-06,0,1,1,1,0,1,1,193
1e-06,8.11984499318401e-06,0,1,1,1,0,1,1,194
1e-06,8.40665288561832e-06,0,1,1,1,0,1,1,195
1e-06,8.70359136148517e-06,0,1,1,1,0,1,1,196
1e-06,9.01101825166502e-06,0,1,1,1,0,1,1,197
1e-06,9.3293040262847e-06,0,1,1,1,0,1,1,198
1e-06,9.65883224115871e-06,0,1,1,1,0,1,1,199
1e-06,1e-05,0,1,1,1,0,1,1,200
1e-06,1e-08,0,1,1,0,1,1,1,201
1e-06,1.03532184329566e-08,0,1,1,0,1,1,1,202
1e-06,1.07189131920513e-08,0,1,1,0,1,1,1,203
1e-06,1.10975249641207e-08,0,1,1,0,1,1,1,204
1e-06,1.14895100018731e-08,0,1,1,0,1,1,1,205
1e-06,1.18953406737032e-08,0,1,1,0,1,1,1,206
1e-06,1.23155060329283e-08,0,1,1,0,1,1,1,207
1e-06,1.27505124071301e-08,0,1,1,0,1,1,1,208
1e-06,1.32008840083142e-08,0,1,1,0,1,1,1,209
1e-06,1.36671635646201e-08,0,1,1,0,1,1,1,210
1e-06,1.41499129743458e-08,0,1,1,0,1,1,1,211
1e-06,1.46497139830728e-08,0,1,1,0,1,1,1,212
1e-06,1.51671688847092e-08,0,1,1,0,1,1,1,213
1e-06,1.57029012472938e-08,0,1,1,0,1,1,1,214
1e-06,1.62575566644379e-08,0,1,1,0,1,1,1,215
1e-06,1.68318035333096e-08,0,1,1,0,1,1,1,216
1e-06,1.74263338600965e-08,0,1,1,0,1,1,1,217
1e-06,1.80418640939207e-08,0,1,1,0,1,1,1,218
1e-06,1.86791359902078e-08,0,1,1,0,1,1,1,219
1e-06,1.93389175045523e-08,0,1,1,0,1,1,1,220
1e-06,2.00220037181558e-08,0,1,1,0,1,1,1,221
1e-06,2.07292177959537e-08,0,1,1,0,1,1,1,222
1e-06,2.14614119785841e-08,0,1,1,0,1,1,1,223
1e-06,2.22194686093952e-08,0,1,1,0,1,1,1,224
1e-06,2.30043011977292e-08,0,1,1,0,1,1,1,225
1e-06,2.38168555197616e-08,0,1,1,0,1,1,1,226
1e-06,2.4658110758226e-08,0,1,1,0,1,1,1,227
1e-06,2.55290806823952e-08,0,1,1,0,1,1,1,228
1e-06,2.6430814869741e-08,0,1,1,0,1,1,1,229
1e-06,2.73643999707467e-08,0,1,1,0,1,1,1,230
1e-06,2.83309610183932e-08,0,1,1,0,1,1,1,231
1e-06,2.93316627839004e-08,0,1,1,0,1,1,1,232
1e-06,3.03677111803546e-08,0,1,1,0,1,1,1,233
1e-06,3.1440354715915e-08,0,1,1,0,1,1,1,234
1e-06,3.25508859983506e-08,0,1,1,0,1,1,1,235
1e-06,3.37006432927192e-08,0,1,1,0,1,1,1,236
1e-06,3.48910121340677e-08,0,1,1,0,1,1,1,237
1e-06,3.61234269970943e-08,0,1,1,0,1,1,1,238
1e-06,3.7399373024788e-08,0,1,1,0,1,1,1,239
1e-06,3.87203878181256e-08,0,1,1,0,1,1,1,240
1e-06,4.00880632889846e-08,0,1,1,0,1,1,1,241
1e-06,4.15040475785047e-08,0,1,1,0,1,1,1,242
1e-06,4.29700470432084e-08,0,1,1,0,1,1,1,243
1e-06,4.44878283112759e-08,0,1,1,0,1,1,1,244
1e-06,4.6059220411451e-08,0,1,1,0,1,1,1,245
1e-06,4.76861169771447e-08,0,1,1,0,1,1,1,246
1e-06,4.937047852839e-08,0,1,1,0,1,1,1,247
1e-06,5.11143348344017e-08,0,1,1,0,1,1,1,248
1e-06,5.29197873595844e-08,0,1,1,0,1,1,1,249
1e-06,5.47890117959395e-08,0,1,1,0,1,1,1,250
1e-06,5.67242606849198e-08,0,1,1,0,1,1,1,251
1e-06,5.87278661318948e-08,0,1,1,0,1,1,1,252
1e-06,6.08022426164943e-08,0,1,1,0,1,1,1,253
1e-06,6.29498899022189e-08,0,1,1,0,1,1,1,254
1e-06,6.51733960488242e-08,0,1,1,0,1,1,1,255
1e-06,6.7475440531107e-08,0,1,1,0,1,1,1,256
1e-06,6.98587974678525e-08,0,1,1,0,1,1,1,257
1e-06,7.23263389648353e-08,0,1,1,0,1,1,1,258
1e-06,7.48810385759003e-08,0,1,1,0,1,1,1,259
1e-06,7.75259748862946e-08,0,1,1,0,1,1,1,260
1e-06,8.02643352225717e-08,0,1,1,0,1,1,1,261
1e-06,8.30994194935339e-08,0,1,1,0,1,1,1,262
1e-06,8.60346441668451e-08,0,1,1,0,1,1,1,263
1e-06,8.90735463861044e-08,0,1,1,0,1,1,1,264
1e-06,9.22197882333432e-08,0,1,1,0,1,1,1,265
1e-06,9.54771611420807e-08,0,1,1,0,1,1,1,266
1e-06,9.88495904662559e-08,0,1,1,0,1,1,1,267
1e-06,1.02341140210545e-07,0,1,1,0,1,1,1,268
1e-06,1.05956017927761e-07,0,1,1,0,1,1,1,269
1e-06,1.09698579789238e-07,0,1,1,0,1,1,1,270
1e-06,1.13573335834311e-07,0,1,1,0,1,1,1,271
1e-06,1.17584955405216e-07,0,1,1,0,1,1,1,272
1e-06,1.21738272773966e-07,0,1,1,0,1,1,1,273
1e-06,1.26038292967973e-07,0,1,1,0,1,1,1,274
1e-06,1.3049019780144e-07,0,1,1,0,1,1,1,275
1e-06,1.35099352119803e-07,0,1,1,0,1,1,1,276
1e-06,1.39871310264724e-07,0,1,1,0,1,1,1,277
1e-06,1.44811822767453e-07,0,1,1,0,1,1,1,278
1e-06,1.49926843278605e-07,0,1,1,0,1,1,1,279
1e-06,1.55222535742705e-07,0,1,1,0,1,1,1,280
1e-06,1.60705281826164e-07,0,1,1,0,1,1,1,281
1e-06,1.66381688607613e-07,0,1,1,0,1,1,1,282
1e-06,1.72258596539879e-07,0,1,1,0,1,1,1,283
1e-06,1.78343087693191e-07,0,1,1,0,1,1,1,284
1e-06,1.84642494289554e-07,0,1,1,0,1,1,1,285
1e-06,1.9116440753857e-07,0,1,1,0,1,1,1,286
1e-06,1.97916686785356e-07,0,1,1,0,1,1,1,287
1e-06,2.04907468981585e-07,0,1,1,0,1,1,1,288
1e-06,2.12145178491063e-07,0,1,1,0,1,1,1,289
1e-06,2.19638537241655e-07,0,1,1,0,1,1,1,290
1e-06,2.27396575235793e-07,0,1,1,0,1,1,1,291
1e-06,2.35428641432242e-07,0,1,1,0,1,1,1,292
1e-06,2.43744415012222e-07,0,1,1,0,1,1,1,293
1e-06,2.52353917043477e-07,0,1,1,0,1,1,1,294
1e-06,2.61267522556333e-07,0,1,1,0,1,1,1,295
1e-06,2.70495973046314e-07,0,1,1,0,1,1,1,296
1e-06,2.80050389418363e-07,0,1,1,0,1,1,1,297
1e-06,2.89942285388288e-07,0,1,1,0,1,1,1,298
1e-06,3.00183581357559e-07,0,1,1,0,1,1,1,299
1e-06,3.10786618778201e-07,0,1,1,0,1,1,1,300
1e-06,3.21764175025074e-07,0,1,1,0,1,1,1,301
1e-06,3.33129478793467e-07,0,1,1,0,1,1,1,302
1e-06,3.44896226040576e-07,0,1,1,0,1,1,1,303
1e-06,3.57078596490046e-07,0,1,1,0,1,1,1,304
1e-06,3.69691270719502e-07,0,1,1,0,1,1,1,305
1e-06,3.82749447851632e-07,0,1,1,0,1,1,1,306
1e-06,3.96268863870148e-07,0,1,1,0,1,1,1,307
1e-06,4.10265810582719e-07,0,1,1,0,1,1,1,308
1e-06,4.24757155253689e-07,0,1,1,0,1,1,1,309
1e-06,4.39760360930272e-07,0,1,1,0,1,1,1,310
1e-06,4.55293507486695e-07,0,1,1,0,1,1,1,311
1e-06,4.71375313411673e-07,0,1,1,0,1,1,1,312
1e-06,4.88025158365443e-07,0,1,1,0,1,1,1,313
1e-06,5.05263106533568e-07,0,1,1,0,1,1,1,314
1e-06,5.23109930805626e-07,0,1,1,0,1,1,1,315
1e-06,5.41587137807948e-07,0,1,1,0,1,1,1,316
1e-06,5.60716993820546e-07,0,1,1,0,1,1,1,317
1e-06,5.8052255160949e-07,0,1,1,0,1,1,1,318
1e-06,6.01027678207039e-07,0,1,1,0,1,1,1,319
1e-06,6.22257083673023e-07,0,1,1,0,1,1,1,320
1e-06,6.44236350872137e-07,0,1,1,0,1,1,1,321
1e-06,6.66991966303011e-07,0,1,1,0,1,1,1,322
1e-06,6.90551352016233e-07,0,1,1,0,1,1,1,323
1e-06,7.14942898659758e-07,0,1,1,0,1,1,1,324
1e-06,7.40195999691565e-07,0,1,1,0,1,1,1,325
1e-06,7.66341086800746e-07,0,1,1,0,1,1,1,326
1e-06,7.93409666579749e-07,0,1,1,0,1,1,1,327
1e-06,8.21434358491942e-07,0,1,1,0,1,1,1,328
1e-06,8.50448934180267e-07,0,1,1,0,1,1,1,329
1e-06,8.80488358164346e-07,0,1,1,0,1,1,1,330
1e-06,9.11588829975082e-07,0,1,1,0,1,1,1,331
1e-06,9.43787827777539e-07,0,1,1,0,1,1,1,332
1e-06,9.7712415353465e-07,0,1,1,0,1,1,1,333
1e-06,1.01163797976621e-06,0,1,1,0,1,1,1,334
